都道府県,指揮支援部隊,大阪府大隊（陸上）,大阪府大隊（航空）
北海道,該当なし,該当なし,該当なし
青森県,該当なし,該当なし,該当なし
岩手県,該当なし,該当なし,該当なし
宮城県,該当なし,該当なし,該当なし
秋田県,該当なし,該当なし,該当なし
山形県,該当なし,該当なし,該当なし
福島県,該当なし,該当なし,該当なし
茨城県,該当なし,該当なし,出動準備、（出動準備航空小隊に該当）
栃木県,該当なし,該当なし,出動準備、（出動準備航空小隊に該当）
群馬県,該当なし,該当なし,出動準備、（出動準備航空小隊に該当）
埼玉県,該当なし,該当なし,出動準備、（出動準備航空小隊に該当）
千葉県,該当なし,該当なし,出動準備、（出動準備航空小隊に該当）
東京都,該当なし,該当なし,出動準備、（出動準備航空小隊に該当）
神奈川県,該当なし,該当なし,出動準備、（出動準備航空小隊に該当）
新潟県,該当なし,該当なし,該当なし
富山県,大阪市指揮支援隊：出動準備、※堺市指揮支援隊該当なし,該当なし,出動準備、（出動準備航空小隊に該当）
石川県,大阪市指揮支援隊：出動準備、※堺市指揮支援隊該当なし,該当なし,出動準備、（出動準備航空小隊に該当）
福井県,出動準備、（指揮支援隊に該当）,該当なし,出動準備、（第１次出動航空小隊に該当）
山梨県,該当なし,該当なし,出動準備、（出動準備航空小隊に該当）
長野県,該当なし,該当なし,出動準備、（出動準備航空小隊に該当）
岐阜県,大阪市指揮支援隊：出動準備、※堺市指揮支援隊該当なし,該当なし,出動準備、（出動準備航空小隊に該当）
静岡県,該当なし,該当なし,出動準備、（出動準備航空小隊に該当）
愛知県,大阪市指揮支援隊：出動準備、※堺市指揮支援隊該当なし,該当なし,出動準備、（出動準備航空小隊に該当）
三重県,出動準備、（指揮支援隊に該当）,該当なし,出動準備、（第１次出動航空小隊に該当）
滋賀県,統括指揮支援隊：指定順位第２位に該当、（京都市が対応できない場合出動準備）、指揮支援隊：出動準備,該当なし,出動準備、（第１次出動航空小隊に該当）
京都府,統括指揮支援隊：指定順位第２位に該当、（京都市が対応できない場合出動準備）、指揮支援隊：出動準備,出動準備、（第１次出動都道府県大隊に該当）,出動準備、（第１次出動航空小隊に該当）
大阪府,統括指揮支援隊：出動準備、（統括指揮支援隊指定順位第１位に該当）,該当なし,該当なし
兵庫県,統括指揮支援隊：出動準備、（統括指揮支援隊指定順位第１位に該当）,出動準備、（第１次出動都道府県大隊に該当）,出動準備、（統括指揮支援隊輸送航空小隊に該当）
奈良県,統括指揮支援隊：指定順位第２位に該当、（京都市が対応できない場合、出動準備）、指揮支援隊：出動準備,出動準備、（第１次出動都道府県大隊に該当）,出動準備、（第１次出動航空小隊に該当）
和歌山県,統括指揮支援隊：出動準備、（統括指揮支援隊指定順位第１位に該当）,出動準備、（第１次出動都道府県大隊に該当）,出動準備、（統括指揮支援隊輸送航空小隊に該当）
鳥取県,統括指揮支援隊：出動準備、（統括指揮支援隊指定順位第１位に該当）、※堺市指揮支援隊該当なし,該当なし,出動準備、（統括指揮支援隊輸送航空小隊に該当）
島根県,統括指揮支援隊：指定順位第２位に該当、（広島市が対応できない場合出動準備）、大阪市指揮支援隊：出動準備、※堺市指揮支援隊該当なし,該当なし,出動準備、（出動準備航空小隊に該当）
岡山県,統括指揮支援隊：指定順位第２位に該当、（広島市が対応できない場合出動準備）、大阪市指揮支援隊：出動準備、※堺市指揮支援隊該当なし,該当なし,出動準備、（出動準備航空小隊に該当）
広島県,該当なし,該当なし,出動準備、（出動準備航空小隊に該当）
山口県,該当なし,該当なし,出動準備、（出動準備航空小隊に該当）
徳島県,統括指揮支援隊：出動準備、（統括指揮支援隊指定順位第１位に該当）、※堺市指揮支援隊該当なし,該当なし,出動準備、（統括指揮支援隊輸送航空小隊に該当）
香川県,統括指揮支援隊：指定順位第２位に該当、（広島市が対応できない場合出動準備）、大阪市指揮支援隊：出動準備、※堺市指揮支援隊該当なし,該当なし,出動準備、（第１次出動航空小隊に該当）
愛媛県,該当なし,該当なし,出動準備、（出動準備航空小隊に該当）
高知県,統括指揮支援隊：指定順位第２位に該当、（広島市が対応できない場合出動準備）、大阪市指揮支援隊：出動準備、※堺市指揮支援隊該当なし,該当なし,出動準備、（出動準備航空小隊に該当）
福岡県,該当なし,該当なし,出動準備、（出動準備航空小隊に該当）
佐賀県,該当なし,該当なし,出動準備、（出動準備航空小隊に該当）
長崎県,該当なし,該当なし,出動準備、（出動準備航空小隊に該当）
熊本県,該当なし,該当なし,出動準備、（出動準備航空小隊に該当）
大分県,該当なし,該当なし,出動準備、（出動準備航空小隊に該当）
宮崎県,該当なし,該当なし,出動準備、（出動準備航空小隊に該当）
鹿児島県,該当なし,該当なし,出動準備、（出動準備航空小隊に該当）
沖縄県,該当なし,該当なし,出動準備、（出動準備航空小隊に該当）
