都道府県,指揮支援部隊,大阪府大隊（陸上）,大阪府大隊（航空）
北海道（札幌市）,該当なし,該当なし,該当なし
青森県,該当なし,該当なし,該当なし
岩手県,該当なし,該当なし,該当なし
宮城県（仙台市）,該当なし,該当なし,該当なし
秋田県,該当なし,該当なし,該当なし
山形県,該当なし,該当なし,該当なし
福島県,該当なし,該当なし,該当なし
茨城県,該当なし,該当なし,出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備航空小隊に該当）
栃木県,該当なし,該当なし,出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備航空小隊に該当）
群馬県,該当なし,該当なし,出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備航空小隊に該当）
埼玉県（さいたま市）,該当なし,該当なし,出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備航空小隊に該当）
千葉県（千葉市）,該当なし,該当なし,出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備航空小隊に該当）
東京都,該当なし,該当なし,出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備航空小隊に該当）
神奈川県（横浜市、川崎市、相模原市）,該当なし,該当なし,出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備航空小隊に該当）
新潟県（新潟市）,該当なし,該当なし,該当なし
富山県,指揮支援隊、出動準備及び長官の要請に基づき必要な隊が迅速出動,統合機動部隊のみ出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備都道府県大隊に該当）,出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備航空小隊に該当）
石川県,指揮支援隊、出動準備及び長官の要請に基づき必要な隊が迅速出動,統合機動部隊のみ出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備都道府県大隊に該当）,出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備航空小隊に該当）
福井県,指揮支援隊、出動準備及び長官の要請に基づき必要な隊が迅速出動,統合機動部隊のみ出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備都道府県大隊に該当）,出動準備及び長官の要請に基づき必要な隊が迅速出動、（第１次出動航空小隊に該当）
山梨県,該当なし,該当なし,出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備航空小隊に該当）
長野県,該当なし,該当なし,出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備航空小隊に該当）
岐阜県,指揮支援隊、出動準備及び長官の要請に基づき必要な隊が迅速出動,統合機動部隊のみ出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備都道府県大隊に該当）,出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備航空小隊に該当）
静岡県（静岡市、浜松市）,該当なし,統合機動部隊のみ出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備都道府県大隊に該当）,出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備航空小隊に該当）
愛知県（名古屋市）,指揮支援隊、出動準備及び長官の要請に基づき必要な隊が迅速出動,統合機動部隊のみ出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備都道府県大隊に該当）,出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備航空小隊に該当）
三重県,指揮支援隊、出動準備及び長官の要請に基づき必要な隊が迅速出動,統合機動部隊のみ出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備都道府県大隊に該当）,出動準備及び長官の要請に基づき必要な隊が迅速出動、（第１次出動航空小隊に該当）
滋賀県,統括指揮支援隊指定順位第２位に該当、（京都市が対応できない場合出動準備及び長官の要請に基づき必要な隊が迅速出動）、※指揮支援隊該当なし,統合機動部隊のみ出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備都道府県大隊に該当）,出動準備及び長官の要請に基づき必要な隊が迅速出動、（第１次出動航空小隊に該当）
京都府（京都市）,統括指揮支援隊指定順位第２位に該当、（京都市が対応できない場合出動準備及び長官の要請に基づき必要な隊が迅速出動）、※指揮支援隊該当なし,統合機動部隊のみ出動準備及び長官の要請に基づき必要な隊が迅速出動、（第１次出動都道府県大隊に該当）,出動準備及び長官の要請に基づき必要な隊が迅速出動、（第１次出動航空小隊に該当）
大阪府（大阪市、堺市）,統括指揮支援隊のみ出動準備及び長官の要請に基づき必要な隊が迅速出動、（統括指揮支援隊指定順位第１位に該当）、※指揮支援隊該当なし,該当なし,該当なし
兵庫県（神戸市）,統括指揮支援隊のみ出動準備及び長官の要請に基づき必要な隊が迅速出動、（統括指揮支援隊指定順位第１位に該当）、※指揮支援隊該当なし,統合機動部隊のみ出動準備及び長官の要請に基づき必要な隊が迅速出動、（第１次出動都道府県大隊に該当）,出動準備及び長官の要請に基づき必要な隊が迅速出動、（統括指揮支援隊輸送航空小隊に該当）
奈良県,統括指揮支援隊指定順位第２位に該当、（京都市が対応できない場合出動準備及び長官の要請に基づき必要な隊が迅速出動）、※指揮支援隊該当なし,統合機動部隊のみ出動準備及び長官の要請に基づき必要な隊が迅速出動、（第１次出動都道府県大隊に該当）,出動準備及び長官の要請に基づき必要な隊が迅速出動、（第１次出動航空小隊に該当）
和歌山県,統括指揮支援隊のみ出動準備及び長官の要請に基づき必要な隊が迅速出動、（統括指揮支援隊指定順位第１位に該当）、※指揮支援隊該当なし,統合機動部隊のみ出動準備及び長官の要請に基づき必要な隊が迅速出動、（第１次出動都道府県大隊に該当）,出動準備及び長官の要請に基づき必要な隊が迅速出動、（統括指揮支援隊輸送航空小隊に該当）
鳥取県,統括指揮支援隊のみ出動準備及び長官の要請に基づき必要な隊が迅速出動、（統括指揮支援隊指定順位第１位に該当）、※指揮支援隊該当なし,統合機動部隊のみ出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備都道府県大隊に該当）,出動準備及び長官の要請に基づき必要な隊が迅速出動、（統括指揮支援隊輸送航空小隊に該当）
島根県,統括指揮支援隊指定順位第２位に該当、（広島市が対応できない場合出動準備及び長官の要請に基づき必要な隊が迅速出動）、※指揮支援隊該当なし,統合機動部隊のみ出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備都道府県大隊に該当）,出動準備及び長官の要請に基づき必要な隊が迅速出動、（出動準備航空小隊に該当）
